Location,HealthcareName,ServiceType
Hamilton,Chartwell Willowgrove Ltc Resi,Pharmacy
Hamilton,Lakeside Health Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #851,Pharmacy
Huntsville,Wal-Mart Pharmacy,Pharmacy
Markham,A & J Pharmacy,Pharmacy
Mississauga,Wal-Mart Pharmacy,Pharmacy
London,Dearness Home,Pharmacy
Smiths Falls,Wal-Mart Pharmacy,Pharmacy
Windsor,Essential Pharmacy W Windsor,Pharmacy
Burlington,Wal-Mart Pharmacy,Pharmacy
Waterloo,Erb St Ida Pharmacy,Pharmacy
Toronto,Humber Summit Pharmacy,Pharmacy
Toronto,Rainbow Ida Pharmacy,Pharmacy
Hamilton,Costco Pharmacy # 1273,Pharmacy
Richmond Hill,Richmond Hill Guardian Phar,Pharmacy
Greater Sudbury,Shoppers Drug Mart # 670,Pharmacy
Ottawa,Walkley Pharmacy Remedy Rx,Pharmacy
Brampton,Astra Care Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart,Pharmacy
Fort Frances,Wal-Mart Pharmacy,Pharmacy
Markdale,Grey Gables Home for the Aged,Pharmacy
Ottawa,Innes Ida Pharmacy,Pharmacy
New Tecumseth,Shoppers Drug Mart # 972,Pharmacy
Cambridge,First Line Pharmacy,Pharmacy
Kingston,Graham's Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #865,Pharmacy
Greater Sudbury,Valley Plaza Pharmacy,Pharmacy
Mississauga,Shoppers Simply  Pharmacy#3072,Pharmacy
London,Ida Richmond Mecical Pharmacy,Pharmacy
New Tecumseth,Beeton Pharmacy,Pharmacy
Hamilton,Shoppers Drug Mart # 1204,Pharmacy
St. Catharines,Carlton Corners Pharmasave,Pharmacy
Oakville,Upper Middle Pharmacy,Pharmacy
Mississauga,Sheridan Villa,Pharmacy
Vaughan,Mackenzie Pharmacy,Pharmacy
Toronto,James Town Pharmacy,Pharmacy
Guelph,Greengate Pharmacy,Pharmacy
St. Catharines,Wal-Mart Pharmacy,Pharmacy
Seeley's Bay,Pharma Well Drugmart,Pharmacy
Tamworth,Pharma Well Drugmart,Pharmacy
Verona,Pharma Well Drug Mart,Pharmacy
Hamilton,Rockhaven Pharmacy Rx Hlthmed,Pharmacy
Burlington,Progressive Pharmacy,Pharmacy
Bracebridge,Rexall # 8193,Pharmacy
Haliburton,Shoppers Drug Mart #1530,Pharmacy
Barrie,Kozlov Guardian Pharmacy,Pharmacy
Hamilton,The Medicine Shoppe,Pharmacy
Toronto,Urban Care Pharmacy,Pharmacy
North Bay,Cassellholme,Pharmacy
Guelph,Prime Care Pharmacy Arboretum,Pharmacy
Walkerton,Pellows Pharmacy,Pharmacy
Barrie,Lmc Pharmacy-Barrie,Pharmacy
Brampton,Gore Queen Pharmacy,Pharmacy
Toronto,Mmmc Pharmacy,Pharmacy
Cambridge,Avalon Pharmacy,Pharmacy
Ottawa,Navan Medical Pharmacy,Pharmacy
Hamilton,ST.MICHAEL'S Pharmacy,Pharmacy
Guelph,Uc Pharmacy,Pharmacy
Hamilton,The Wellington Nursing Home,Pharmacy
Port Hope,Regency Long Term Care Home,Pharmacy
Newmarket,Shoppers Drug Mart # 981,Pharmacy
Kitchener,Kitchener New Day Pharmacy,Pharmacy
Toronto,Bio Pharmacy,Pharmacy
Brampton,Sobeys Pharmacy #7221,Pharmacy
Kitchener,Peoplecare A.R.GOUGIE Kitchene,Pharmacy
Gore Bay,Robertson's Drug Store,Pharmacy
Hamilton,Regina Gardens,Pharmacy
Hamilton,Shoppers Drug Mart #750,Pharmacy
Brampton,Brampton Discount Pharmacy,Pharmacy
Vaughan,Pine Valley Pharmacy,Pharmacy
Toronto,Apollon Pharmacy Ltd,Pharmacy
Prince Edward,Main Street Pharmacy,Pharmacy
Rosslyn,Rosslyn Pharmacy,Pharmacy
Burlington,Golden Care Pharamcy,Pharmacy
Markham,Dales Pharmacy,Pharmacy
Markham,Dales Pharmacy,Pharmacy
Toronto,Dales Pharmacy,Pharmacy
Waterloo,Shoppers Drug Mart # 727,Pharmacy
Toronto,Popular Choice Pharm Birchwood,Pharmacy
Brantford,Metro Pharmacy #542,Pharmacy
Toronto,Dale Pharmacy,Pharmacy
Toronto,Highland Creek Pharamcy,Pharmacy
Oakville,Shoppers Drug Mart #748,Pharmacy
Ottawa,Pharma Can Drug Mart,Pharmacy
Windsor,Ziter Pharmachoice,Pharmacy
Cochrane,Cochrane Pharmacy,Pharmacy
Mississauga,Pacific Pharmacy Mississauga,Pharmacy
Leamington,Shoppers Drug Mart # 1117,Pharmacy
Hamilton,Hess Village Pharamcy,Pharmacy
Toronto,Queensway Health Pharma Centre,Pharmacy
Ottawa,Tenth Line Pharm&compounding,Pharmacy
Greater Sudbury,Nickel Centre Pharmacy,Pharmacy
Guelph,New Day Guelph Pharmacy,Pharmacy
Windsor,Loblaw Pharmacy #567,Pharmacy
Toronto,Doctors Pharmacy,Pharmacy
Brampton,Castlemore West Phamracy,Pharmacy
Pickering,Super Rx Pharmacy Ltd,Pharmacy
Windsor,Shoppers Drug Mart 1467,Pharmacy
Windsor,Shoppers Drug Mart 1114,Pharmacy
Thunder Bay,Hogarth Riverview Manor,Pharmacy
Summerstown,Arrowhead Pharmacy,Pharmacy
Bonfield,Bonfield Life Care Pharamcy,Pharmacy
Mississauga,Healing Hands Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #808,Pharmacy
Milton,James Snow Pharmacy,Pharmacy
London,Costco Pharmacy #530,Pharmacy
Little Current,Little Current Guardian Pharm,Pharmacy
Toronto,Drug Store Pharmacy #4225,Pharmacy
Toronto,Sheridan I.D.A. Pharmacy,Pharmacy
Lakeshore,Shoppers Drug Mart # 1123,Pharmacy
Ajax,Ajax Guardian Pharmacy,Pharmacy
Ottawa,Bank Street Medical Pharmacy,Pharmacy
St. Jacobs,Derbecker's Heritage House,Pharmacy
Markham,Costco Pharmacy #151,Pharmacy
Oakville,Total Health Pharmacy,Pharmacy
Toronto,Mimico Pharmacy,Pharmacy
Toronto,Rexdale Mall Pharmacy,Pharmacy
Acton,Sobeys Pharmacy #7211,Pharmacy
Toronto,Christie Pharmacy,Pharmacy
Barrie,Shoppers Drug Mart 1231,Pharmacy
Ottawa,Taylor Creek Pharmacy,Pharmacy
St. Thomas,Morgan Your Pharmacy,Pharmacy
Ottawa,Shas Pharmacy Ltd,Pharmacy
Manitowaning,Manitowaning Pharmacy,Pharmacy
Hamilton,Mountain View Pharmacy Clinic,Pharmacy
Oakville,Central Park Pharmacy,Pharmacy
Midland,Shoppers Drug Mart # 973,Pharmacy
Toronto,Pharmacy Zen,Pharmacy
Vaughan,Alpha Woodbridge Pharmacy,Pharmacy
Mindemoya,Mindemoya Medical Pharmacy,Pharmacy
Temiskaming Shores,Extendicare/tri-Town,Pharmacy
Brantford,Newday Brantford,Pharmacy
Toronto,Thu Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart # 903,Pharmacy
Markham,Markhaven,Pharmacy
Napanee,Paul's Lenadco Pharmacy,Pharmacy
Vaughan,Pharmacy Coach Drug Store,Pharmacy
Ottawa,Drugstore Pharmacy #1051,Pharmacy
Vaughan,Health Link Pharmacy,Pharmacy
Napanee,Napanee Centre Street Pharmacy,Pharmacy
Brampton,Saveonrx Howden Pharmacy,Pharmacy
Brantford,Freshco Pharmacy,Pharmacy
Barrie,Pharmasave Simcoe,Pharmacy
Inverary,Inverary Pharmasave,Pharmacy
Ajax,Medical Place Pharmacy,Pharmacy
Toronto,Ultima Pharmacy,Pharmacy
Tecumseh,Oasis Pharmacy,Pharmacy
New Tecumseth,Bee Town Pharmacy,Pharmacy
Barrie,Barrie Downtown Pharmacy,Pharmacy
Barrie,Pharmasave Allandale,Pharmacy
Cambridge,Beveridge & Brown Pharmacy,Pharmacy
Drumbo,Drumbo Pharmacy,Pharmacy
St. Catharines,Shoppers Drug Mart # 786,Pharmacy
Toronto,Extendicare/scarboro,Pharmacy
Port Hope,Extendicare/port Hope,Pharmacy
New Tecumseth,Shoppers Drug Mart # 1501,Pharmacy
Vaughan,Shoppers Drug Mart # 965,Pharmacy
Ottawa,Shoppers Drug Mart #1258,Pharmacy
Carleton Place,Carleton Place Ida Drug Mart,Pharmacy
Hamilton,Seven Star Pharmacy,Pharmacy
Mississauga,Main Drug Mart,Pharmacy
Richmond Hill,Community Drug Mart,Pharmacy
Brampton,Torbram Pharmacy,Pharmacy
Sault Ste. Marie,Medicine Shoppe,Pharmacy
Bracebridge,Shoppers Drug Mart # 914,Pharmacy
Orillia,Shoppers Drug Mart #971,Pharmacy
Brampton,Squire Ellis Pharmacy,Pharmacy
St. Catharines,Shoppers Drug Mart #686,Pharmacy
Orillia,Mariposa Pharmacy,Pharmacy
Ingersoll,Woodingford Lodge-Ingersoll,Pharmacy
Tillsonburg,Woodingford Lodge-Tillsonburg,Pharmacy
Chatham-Kent,Shoppers Drug Mart 1021,Pharmacy
Oakville,The Medicine Shoppe,Pharmacy
Vaughan,Shoppers Drug Mart #1282,Pharmacy
Essex,Shoppers Drug Mart #1111,Pharmacy
Saint Isidore,Dispensaire St-Isidore Inc.,Pharmacy
Breslau,Breslau Pharmacy &Wellness Ctn,Pharmacy
Mississauga,Pharmacy One,Pharmacy
Bowmanville,Mcgregor Ida Drugs,Pharmacy
Pickering,Peoples Choice Drug Mart,Pharmacy
Brockville,Leeds Pharmacy,Pharmacy
Saugeen Shores,Drug Store Pharmacy #4226,Pharmacy
Richmond Hill,Pharmalinx Guardian Pharmacy,Pharmacy
Richmond Hill,Pharmacare Medical Group,Pharmacy
Vaughan,Vaughan Medical Pharmacy,Pharmacy
Toronto,St. George Care Community,Pharmacy
Toronto,Royal York Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #1287,Pharmacy
Ottawa,Pharmacie Campus Pharmacy,Pharmacy
Cambridge,St. Andrews Terrace Ltc Commun,Pharmacy
Milton,Shoppers Drug Mart #710,Pharmacy
Hamilton,St. Peter's Residence at Ched,Pharmacy
Little Current,Manitoulin Centennial Manor,Pharmacy
Owen Sound,Summit Place,Pharmacy
Oshawa,Scotts Drug Mart,Pharmacy
Toronto,Sobeys Pharmacy #7222,Pharmacy
Brampton,Woodhall Park Care Community,Pharmacy
Hamilton,Sutherland's Pharmacy Limited,Pharmacy
Brampton,Tall Pines Ltc. Centre,Pharmacy
Toronto,Costco Pharmacy #524,Pharmacy
Woodstock,The Dispensary,Pharmacy
Pembroke,Mulvihill Drug Mart,Pharmacy
Kawartha Lakes,Countryside Pharmacy,Pharmacy
Comber,Comber Drug Store Ltd,Pharmacy
Toronto,Malvern Drug Mart,Pharmacy
Mississauga,Centre City Pharmacy,Pharmacy
Niagara Falls,Valley Way Pharmacy,Pharmacy
Toronto,Pape Drug Mart,Pharmacy
Ottawa,Glebe Centre,Pharmacy
London,Medicine Shoppe Pharmacy #144,Pharmacy
Windsor,Advantage Drug Mart,Pharmacy
Cornwall,Pitt Street Pharmacy,Pharmacy
Toronto,Lakeside Long Term Care Centre,Pharmacy
Hamilton,Arbour Creek Ltc Centre,Pharmacy
London,Ernest Pharmacy,Pharmacy
Toronto,Larose Pharmacy,Pharmacy
London,Wal-Mart Pharmacy,Pharmacy
Georgina,Ben's Pharmacy,Pharmacy
Toronto,Wal-Mart Pharmacy,Pharmacy
Jasper,Rosebridge Manor,Pharmacy
St. Catharines,Loblaw Pharmacy,Pharmacy
Espanola,Espanola Nursing Home,Pharmacy
Richmond Hill,Shoppers Drug Mart #1179,Pharmacy
Oakville,Shoppers Drug Mart #1271,Pharmacy
Hamilton,Idlewyld Manor,Pharmacy
Wikwemikong,Mnis Ida Pharmacy,Pharmacy
Ottawa,Royal Ottawa Place,Pharmacy
London,Drugstore Pharmacy #1091,Pharmacy
Kitchener,Belgage Pharmacy,Pharmacy
West Nipissing,Loblaw Pharmacy #4230,Pharmacy
Toronto,Westown Pharmacy,Pharmacy
Toronto,Port Union Pharmacy,Pharmacy
Toronto,Elm Grove Living Centre,Pharmacy
Peterborough,St. Joseph's at Fleming,Pharmacy
Toronto,Wexford (The),Pharmacy
London,Springbank Pharmacy,Pharmacy
Greater Sudbury,Wilson Pharmacy,Pharmacy
Welland,The Woodlands of Sunset,Pharmacy
Burlington,Billings Court Manor,Pharmacy
Northbrook,Pine Meadow Nursing Home,Pharmacy
Mississauga,Malton Village Ltc Centre,Pharmacy
Newmarket,Wal-Mart Pharmacy,Pharmacy
Kingsville,Chartwell Royal Oak Ltc Reside,Pharmacy
Toronto,Shoppers Drug Mart,Pharmacy
Hearst,Foyer Des Pionniers,Pharmacy
Kirkland Lake,Teck Pioneer Residence,Pharmacy
Sault Ste. Marie,F.J. Davey Home,Pharmacy
Cobden,Conway's Pharmacy,Pharmacy
Ottawa,Carleton Lodge,Pharmacy
Ottawa,Loblaw Pharmacy,Pharmacy
Sarnia,Shoppers Drug Mart  #1031,Pharmacy
Hamilton,Mountain Clinic Pharmacy,Pharmacy
Peterborough,Extendicare/peterborough,Pharmacy
Toronto,Health Drugmart,Pharmacy
Marmora,Nickle's Pharmacy,Pharmacy
Toronto,Ina Grafton Gage Home,Pharmacy
Kingston,Drugstore Pharmacy #4231,Pharmacy
Toronto,Markland Wood Pharmacy Limited,Pharmacy
Kawartha Lakes,Victoria Manor,Pharmacy
Toronto,Loblaw Pharmacy   #1033,Pharmacy
Waterloo,Pharmasave,Pharmacy
Toronto,Able Allergy Services,Pharmacy
Toronto,Hellenic Home-Scarborough,Pharmacy
Sarnia,Bluewater Pharmacy,Pharmacy
Toronto,Maynard Nursing Home,Pharmacy
Toronto,Peoples Drug Mart,Pharmacy
Mississauga,Shoppers Drug Mart #771,Pharmacy
Mississauga,Camilla Care Community,Pharmacy
Guelph,Shoppers Drug Mart #1089,Pharmacy
Embrun,St. Jacques Nursing Home,Pharmacy
Toronto,Shoppers Drug Mart #1320,Pharmacy
Hamilton,Mohawk Drug Mart,Pharmacy
Hamilton,Clarion Nursing Home,Pharmacy
Brampton,Grace Manor,Pharmacy
Saint George,The Medicine Shoppe Pharmacy,Pharmacy
London,Drug Store Pharmacy #4244,Pharmacy
Toronto,Kennedy Road Pharmacy,Pharmacy
Burlington,Costco Pharmacy #253,Pharmacy
Hamilton,Mediserve Pharmacy,Pharmacy
Kitchener,Wal-Mart Pharmacy,Pharmacy
Oshawa,Shoppers Drug Mart #983,Pharmacy
Mississauga,Costco Pharmacy #531,Pharmacy
Toronto,Chartwell Westbury Ltc Residen,Pharmacy
Chatham-Kent,Blenheim Community Village,Pharmacy
Toronto,Mon Sheong Scarborough Ltc Ctr,Pharmacy
Milton,Wal-Mart Pharmacy,Pharmacy
Kitchener,Wal-Mart Pharmacy,Pharmacy
Burlington,Morelli's Pharmacy,Pharmacy
Cobourg,The Medicine Shoppe,Pharmacy
Toronto,The Village Pharmacy,Pharmacy
Toronto,Northview Pharmacy,Pharmacy
Mississauga,Drugstore Pharmacy #1080,Pharmacy
Toronto,Moss Park Pharmacy Ltd,Pharmacy
Vaughan,Woodbridge Vista Care Comm,Pharmacy
Listowel,Caressant Care (Listowel),Pharmacy
London,Metro Pharmacy #518,Pharmacy
Chatham-Kent,Shoppers Drug Mart #1036,Pharmacy
Collingwood,Shoppers Drug Mart #646,Pharmacy
Strathroy,Sprucedale Care Centre,Pharmacy
Toronto,Shoppers Drug Mart #922,Pharmacy
Gravenhurst,Drugstore Pharmacy #4130,Pharmacy
Toronto,Wal-Mart Pharmacy,Pharmacy
West Nipissing,Au Chateau,Pharmacy
Brantford,St Joseph's Lifecare Centre,Pharmacy
Aylmer,Drug Store Pharmacy #4132,Pharmacy
Vaughan,Villa Leonardo Gambin,Pharmacy
Niagara Falls,Millennium Trail Manor,Pharmacy
Toronto,The O'neill Centre,Pharmacy
Peterborough,Sobeys Pharmacy #7223,Pharmacy
North Bay,Robinson's Pharmasave,Pharmacy
Aurora,Loblaw Pharmacy,Pharmacy
Burlington,Fairview Pharmacy,Pharmacy
Englehart,Northview Nursing Home,Pharmacy
Carleton Place,Loblaw Pharmacy #4247,Pharmacy
Mississauga,Unicare Pharmacy of Mississaug,Pharmacy
Brampton,Burton Manor,Pharmacy
Toronto,North York Pharmacy,Pharmacy
Warkworth,Warkworth Place,Pharmacy
Hamilton,Loblaw Pharmacy #4254,Pharmacy
Hamilton,Kingmount Pharmacy,Pharmacy
Renfrew,Drug Store Pharmacy #4257,Pharmacy
Guelph,Royal City Pharmacy,Pharmacy
Mississauga,Eglinton Churchill Med Phcy,Pharmacy
Kitchener,Grand River Allergy,Pharmacy
Toronto,Main Drug Mart,Pharmacy
Toronto,Bathurst Drug Mart,Pharmacy
Toronto,Keele-Ingram Pharmacy,Pharmacy
Midland,Villa Care Centre,Pharmacy
Toronto,Bernard Zylberberg Md,Pharmacy
Burlington,Food Basics Pharmacy #581,Pharmacy
Mississauga,Urban Pharmacy Inc,Pharmacy
Toronto,Valleyview Residence,Pharmacy
Toronto,Medi Plus Pharmacy,Pharmacy
Beaverton,Ben's Pharmacy,Pharmacy
Mississauga,Silverthorn Care Community,Pharmacy
Newmarket,Southlake Residential Care,Pharmacy
London,Country Terrace,Pharmacy
Cambridge,Cambridge Country Manor,Pharmacy
Toronto,Pharmasave #645,Pharmacy
Oakville,Post Inn Village,Pharmacy
Kawartha Lakes,Macarthur Drugs (1984) Ltd,Pharmacy
Hamilton,Metro Pharmacy #580,Pharmacy
Woodstock,Woodstock Medical Pharmacy,Pharmacy
Guelph,Eden House Nursing Home,Pharmacy
Ottawa,Shoppers Drug Mart #1302,Pharmacy
Toronto,Wal-Mart Pharmacy,Pharmacy
Pickering,Mesa's Compounding Pharmacy,Pharmacy
Ottawa,St. Patrick's Home,Pharmacy
Pembroke,Miramichi Lodge,Pharmacy
Parry Sound,Wal-Mart Pharmacy,Pharmacy
Prescott,Seaway Valley Pharmacy,Pharmacy
Palmerston,Royal Terrace,Pharmacy
Kenora,Wal-Mart Pharmacy,Pharmacy
Kitchener,Sobeys Pharmacy #7224,Pharmacy
Toronto,Augusta Central Pharmacy,Pharmacy
Innisfil,Cookstown Pharmasave,Pharmacy
Kawartha Lakes,Case Manor Care Community,Pharmacy
Ajax,Shoppers Drug Mart #967,Pharmacy
Quinte West,Madill's Ida Pharmacy,Pharmacy
Cambridge,Hespeler Pharmacy,Pharmacy
Toronto,Pharmasave Health First Phcy,Pharmacy
Toronto,Value Plus Pharmacy,Pharmacy
Whitby,Sobeys Pharmacy #7226,Pharmacy
Brampton,Ultra Med Pharmacy Ltd,Pharmacy
Markham,Canada Chemists,Pharmacy
Niagara Falls,Shoppers Drug Mart #781,Pharmacy
Collingwood,Bay Haven Nursing Home,Pharmacy
Hamilton,Dundurn Place Care Centre,Pharmacy
Oakville,Sobeys Pharmacy #7225,Pharmacy
Arthur,Walsh's Ida Pharmacy Ltd,Pharmacy
Brockville,Drugstore Pharmacy #1017,Pharmacy
Richmond Hill,Main Drug Mart,Pharmacy
Woodstock,Shoppers Drug Mart #1171,Pharmacy
Ottawa,Loblaw Pharmacy #4253,Pharmacy
Greater Sudbury,Lively Pharmacy,Pharmacy
Mississauga,Total Health Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #803,Pharmacy
Toronto,Shoppers Drug Mart #806,Pharmacy
Leamington,Leamington Mennonite Home Ltcr,Pharmacy
Oakville,Oakville Allergy Centre Inc,Pharmacy
Cambridge,St Michael Medical Pharmacy,Pharmacy
Mississauga,Dixie 5 Pharmacy,Pharmacy
Toronto,Danforth Main Pharmacy,Pharmacy
Mississauga,Hiway 10 Pharmacy,Pharmacy
Oakville,Fairways Drug Store,Pharmacy
Toronto,The Village of Humber Heights,Pharmacy
Markham,Shoppers Drug Mart #847,Pharmacy
Pickering,Pickering Medical Pharmacy,Pharmacy
Huntsville,Shoppers Drug Mart #647,Pharmacy
Toronto,The Drug Store Pharmacy #4078,Pharmacy
Toronto,Yee Hong Centre-Scarb Finch,Pharmacy
Toronto,Tim's Pharmacy,Pharmacy
Toronto,Shih Pharmacy,Pharmacy
Niagara Falls,Stamford Medical Pharmacy,Pharmacy
Iroquois Falls,South Centennial Manor,Pharmacy
Richmond Hill,Pro Care Pharmacy,Pharmacy
Haliburton,Drugstore Pharmacy #4264,Pharmacy
Schomberg,Brownsville Guardian Drugs,Pharmacy
Toronto,Marshall's Drug Store,Pharmacy
Pickering,Loblaw Pharmacy 1001,Pharmacy
Toronto,Shoppers Drug Mart #819,Pharmacy
Parkhill,Chartwell Parkhill Ltc Residen,Pharmacy
Port Hope,Loblaw Pharmacy #4265,Pharmacy
Hamilton,Stonechurch Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #717,Pharmacy
Toronto,Permanent Drug Mart,Pharmacy
Huntsville,Muskoka Medical Centre Phcy,Pharmacy
Toronto,Albion Medical Pharmacy,Pharmacy
Toronto,Ontario Allergy Lab,Pharmacy
Ottawa,Residence Saint-Louis,Pharmacy
Toronto,Hawthorne Place Care Centre,Pharmacy
Toronto,New Caledonia Pharmacy,Pharmacy
Ottawa,The Drug Store Pharmacy #4088,Pharmacy
London,Wonderland Pharmacy,Pharmacy
London,London Medical Phcy(bradley),Pharmacy
Toronto,Loblaw Pharmacy #1019,Pharmacy
Toronto,University Health Centre Phcy,Pharmacy
Mississauga,Shoppers Drug Mart #695,Pharmacy
Aurora,Shoppers Drug Mart #1279,Pharmacy
Ottawa,Loblaw Pharmacy #4274,Pharmacy
Wasaga Beach,Drugstore Pharmacy #512,Pharmacy
Cobourg,Golden Plough Lodge,Pharmacy
Toronto,Main Drug Mart,Pharmacy
Corbeil,Nipissing Manor Nursing Care,Pharmacy
Ottawa,Queens Pharmacy Ltd,Pharmacy
Parry Sound,Lakeland Long Term Care,Pharmacy
Toronto,Wellesley Central Place,Pharmacy
Markham,Drugstore Pharmacy 4276,Pharmacy
Mississauga,Churchill Meadows Pharmacy,Pharmacy
London,Medcen Pharmacy,Pharmacy
Owen Sound,Drugstore Pharmacy 4277,Pharmacy
Watford,Watford Nursing Home,Pharmacy
Ottawa,Shoppers Drug Mart 643,Pharmacy
Napanee,Drugstore Pharmacy 4275,Pharmacy
Ottawa,Garry J. Armstrong Ltc Home,Pharmacy
Toronto,Mornelle Drug Mart,Pharmacy
Toronto,Delisle Pharmacy,Pharmacy
Waterloo,Pinehaven Nursing Home,Pharmacy
Cambridge,Saint Luke's Place,Pharmacy
Mississauga,Heritage Glen Pharmacy,Pharmacy
Toronto,R.O.O.T.S. Four Winds Pharmacy,Pharmacy
Thunder Bay,Pioneer Ridge,Pharmacy
Toronto,Habers Compounding Pharmacy,Pharmacy
Hastings,Johnstons Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #994,Pharmacy
Orangeville,Rolling Hills Pharmacy,Pharmacy
Toronto,True Davidson Acres,Pharmacy
Ottawa,"Lemire,dr Martine",Pharmacy
Toronto,Main Drug Mart,Pharmacy
Toronto,Shoppers Drug Mart #1250,Pharmacy
Ottawa,Loblaw Pharmacy 1071,Pharmacy
Cambridge,The Prescription Shoppe,Pharmacy
Kitchener,Sunnyside Home,Pharmacy
Richmond Hill,Freshco Pharmacy #7233,Pharmacy
Toronto,Eglinton Discount Drugs,Pharmacy
Elmira,Woolwich Total Health Pharmacy,Pharmacy
Ottawa,Drugstore Pharmacy #4284,Pharmacy
Brantford,Wal-Mart Pharmacy,Pharmacy
Whitby,Fairview Lodge,Pharmacy
Burlington,Morelli's Pharmacy,Pharmacy
Markham,Shoppers Drug Mart #846,Pharmacy
Toronto,Yorkgate Ida Drugmart,Pharmacy
Hamilton,Orchard Terrace Care Centre,Pharmacy
Brampton,Shoppers Drug Mart #1368,Pharmacy
Brantford,Brierwood Gardens,Pharmacy
Toronto,Golfdale Pharmacy,Pharmacy
Burlington,Creekway Village,Pharmacy
Mississippi Mills,Almonte Country Haven,Pharmacy
Toronto,Smith's Pharmacy,Pharmacy
Oshawa,Loblaw Pharmacy #1043,Pharmacy
London,Westmount Pharmacy,Pharmacy
Peterborough,Riverview Manor Nh,Pharmacy
Brampton,Gore Pharmacy Ida,Pharmacy
London,Medicine Shoppe #228,Pharmacy
Toronto,Shoppers Drug Mart #899,Pharmacy
Mississauga,Confederation Drug Store,Pharmacy
Toronto,River Hill Pharmacy,Pharmacy
Ajax,Ajax Community Pharmacy,Pharmacy
Petrolia,Lambton Meadowview Villa,Pharmacy
Toronto,Extendicare/bayview Villa,Pharmacy
Oakville,Sobeys Pharmacy-Abbey #7230,Pharmacy
Mississauga,Tomken Centre Pharmacy,Pharmacy
Cambridge,Riverbend Place Nh,Pharmacy
Timmins,Golden Manor,Pharmacy
Oakville,Oak Park Community Pharmacy,Pharmacy
Ingersoll,Ingersoll Pharmasave,Pharmacy
Toronto,Kennedy-Eglinton Pharmacy,Pharmacy
Simcoe,Norview Lodge,Pharmacy
Ottawa,Extendicare/laurier Manor,Pharmacy
Ottawa,Green Street Pharmacy,Pharmacy
Hawkesbury,Residence Prescott Et Russell,Pharmacy
Kitchener,The Pharmashoppe,Pharmacy
St. Catharines,Merritton Community Pharmacy,Pharmacy
Toronto,Bloor Court Pharmacy,Pharmacy
Brampton,Morelli's Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #1314,Pharmacy
Ottawa,Costco Pharmacy #541,Pharmacy
Powassan,Eastholme,Pharmacy
London,Drugstore Pharmacy #4283,Pharmacy
Gananoque,Carveth Care Ctre,Pharmacy
Napanee,The John M Parrott Centre,Pharmacy
Toronto,Drug Store Pharmacy #4285,Pharmacy
Toronto,Humber Valley Terrace,Pharmacy
Townsend,Gardenview Long Term Care Home,Pharmacy
Halton Hills,Ockley C M Md,Pharmacy
Toronto,National Pharmacy,Pharmacy
Brighton,Drugstore Pharmacy #4287,Pharmacy
Milton,Hawthorne Pharmacy,Pharmacy
Englehart,Marshall's Pharmasave,Pharmacy
Toronto,Lawrence Heights Family Phcy,Pharmacy
Ottawa,Loblaw Pharmacy #1170,Pharmacy
Windsor,Regency Park Ltc Home,Pharmacy
Thunder Bay,Janzen's Pharmacy,Pharmacy
Toronto,Kipling Acres,Pharmacy
Greater Sudbury,Valley Prescription Centre Ltd,Pharmacy
Deseronto,Friendly Manor Nursing Home,Pharmacy
Brockville,St. Lawrence Lodge,Pharmacy
Toronto,Rogers Road Pharmacy,Pharmacy
Collingwood,Wal-Mart Pharmacy,Pharmacy
Strathroy,Wal-Mart Pharmacy,Pharmacy
Napanee,Wal-Mart Pharmacy,Pharmacy
Whitby,Medicine Shoppe Pharmacy #234,Pharmacy
Guelph,Surrey Prescriptions,Pharmacy
Mississauga,Ida Sandalwood Drugs,Pharmacy
Lion's Head,Golden Dawn Nursing Home,Pharmacy
Toronto,Islington Medical Pharmacy,Pharmacy
Brampton,Superhealth Pharmacy,Pharmacy
Prince Edward,Kentwood Park,Pharmacy
Toronto,Health Check Pharmacy,Pharmacy
Hamilton,Wal-Mart Pharmacy,Pharmacy
Toronto,St. Joseph Pharmacy,Pharmacy
Sault Ste. Marie,Mauno Kaihla Koti,Pharmacy
Brampton,Tullamore Care Community,Pharmacy
Brant,Telfer Place,Pharmacy
Hamilton,Limeridge Medical Pharmacy,Pharmacy
Ilderton,Excel Pharmacy,Pharmacy
Burlington,Cama Woodlands,Pharmacy
St. Catharines,Sam's Geneva Street Pharmacy,Pharmacy
Toronto,Shoppers Drug Mart #813,Pharmacy
London,Mccormick Home,Pharmacy
Oakville,Queen's Drug Mart,Pharmacy
Haliburton,Extendicare/haliburton,Pharmacy
Halton Hills,Freshco Pharmacy,Pharmacy
Lambton Shores,North Lambton Lodge,Pharmacy
St. Thomas,Wellington Medical Pharmacy,Pharmacy
Sault Ste. Marie,Medicine Shoppe #233,Pharmacy
Richmond Hill,Shoppers Drug Mart #1338,Pharmacy
